question,correct,wrong1,wrong2
Trong giang hồ người mới vào nghề được gọi là gì?,Tân thủ,Đại hiệp,Chưởng môn
Bang phái lớn nhất thường gọi là?,Đại phái,Tiểu bang,Thôn hội
Người đứng đầu một môn phái gọi là?,Chưởng môn,Trưởng thôn,Minh chủ
Người luyện võ nhưng chưa xuất sư gọi là?,Đệ tử,Trưởng lão,Hộ pháp
Cảnh giới cao nhất trong võ học thường gọi là?,Đỉnh phong,Nhập môn,Tiểu thành
Người hành hiệp trượng nghĩa thường gọi là?,Hiệp khách,Sát thủ,Thương nhân
Nơi luyện công bí mật thường gọi là?,Mật thất,Tửu lâu,Chợ phiên
Bí kíp võ công quý hiếm gọi là?,Tuyệt học,Phổ thông,Tiểu chiêu
Vũ khí dài có lưỡi cong gọi là?,Đao,Kiếm,Côn
Vũ khí mỏng thẳng hai lưỡi gọi là?,Kiếm,Đao,Búa
Người bảo vệ chưởng môn gọi là?,Hộ pháp,Đệ tử,Trưởng lão
Tổ sư khai sáng môn phái gọi là?,Khai tổ,Chưởng môn,Minh chủ
Môn phái chuyên dùng độc gọi là?,Độc môn,Thiếu Lâm,Cái Bang
Bang phái hành khất gọi là?,Cái Bang,Thiên Sơn,Đường Môn
Người đứng đầu liên minh võ lâm gọi là?,Minh chủ,Chưởng môn,Đường chủ
Cấp bậc thấp nhất trong môn phái?,Ngoại môn,Trưởng lão,Nội môn
Người luyện nội công gọi là?,Nội công giả,Thợ rèn,Lữ khách
Kỹ năng nhẹ thân gọi là?,Khinh công,Thiết đầu công,Kim cương công
Kỹ năng phòng thủ gọi là?,Hộ thể công,Khinh công,Độc công
Kỹ năng gây sát thương gọi là?,Ngoại công,Nội thương,Y thuật
Võ học cấm kỵ gọi là?,Ma công,Chính đạo,Tâm pháp
Nơi tụ họp cao thủ gọi là?,Võ lâm đại hội,Chợ phiên,Tửu điếm
Người luyện y thuật gọi là?,Y sư,Đao khách,Sát thủ
Môn phái dùng ám khí gọi là?,Đường Môn,Cái Bang,Nga My
Cảnh giới thứ hai thường gọi là?,Tiểu thành,Đỉnh phong,Đại viên mãn
Người tu luyện thất bại gọi là?,Tẩu hỏa nhập ma,Đột phá thành công,Đại hiệp
Kỹ năng dùng độc gọi là?,Độc thuật,Khinh công,Y thuật
Nơi uống rượu giang hồ gọi là?,Tửu lâu,Đại điện,Mật thất
Người luyện kiếm gọi là?,Kiếm khách,Đao khách,Côn sư
Người luyện đao gọi là?,Đao khách,Kiếm khách,Thương nhân
Bang phái nữ giới nổi tiếng là?,Nga My,Cái Bang,Thiên Sơn
Cấp cao hơn nội môn là?,Trưởng lão,Đệ tử,Ngoại môn
Người giữ kho bí kíp gọi là?,Thủ các,Chưởng môn,Hộ pháp
Kỹ năng trị thương gọi là?,Y thuật,Độc thuật,Ma công
Võ công mạnh nhất của môn phái gọi là?,Trấn phái tuyệt học,Chiêu thường,Tiểu kỹ
Nơi cất giấu bí kíp gọi là?,Tàng thư các,Chợ,Tửu lâu
Người phản bội môn phái gọi là?,Nghịch đồ,Đại hiệp,Chưởng môn
Danh hiệu người nổi tiếng võ lâm gọi là?,Danh hiệp,Thôn dân,Thương lái
Võ học dùng chân gọi là?,Thối pháp,Kiếm pháp,Đao pháp
Võ học dùng tay gọi là?,Chưởng pháp,Thối pháp,Ám khí
Người dạy võ gọi là?,Sư phụ,Đệ tử,Thương nhân
Đệ tử cùng thầy gọi là?,Sư huynh đệ,Bằng hữu,Kẻ địch
Kỹ năng cận chiến gọi là?,Quyền cước,Ám khí,Y thuật
Người chuyên giết thuê gọi là?,Sát thủ,Hiệp khách,Y sư
Nơi cất giữ bảo vật gọi là?,Bảo khố,Tửu lâu,Chợ
Bang phái bí ẩn gọi là?,Ẩn môn,Cái Bang,Nga My
Người dùng côn gọi là?,Côn sư,Kiếm khách,Đao khách
Kỹ năng bắn phi tiêu gọi là?,Ám khí,Khinh công,Thối pháp
Người giữ cửa môn phái gọi là?,Thủ vệ,Chưởng môn,Minh chủ
Người giữ luật môn phái gọi là?,Giám luật,Đệ tử,Hộ pháp
Nơi hành hiệp thường gọi là?,Giang hồ,Hoàng cung,Chợ
Cảnh giới cao hơn tiểu thành?,Đại thành,Nhập môn,Tiểu thành
Kỹ năng hồi phục gọi là?,Tâm pháp,Y thuật,Độc thuật
Người luyện ma công gọi là?,Ma đạo,Chính phái,Thương nhân
Võ công nhẹ nhàng gọi là?,Khinh linh,Thiết giáp,Trọng kiếm
Môn phái chính đạo gọi là?,Chính phái,Ma môn,Độc môn
Người thu nhận đệ tử gọi là?,Sư phụ,Minh chủ,Thủ vệ
Người truyền thụ bí kíp gọi là?,Trưởng lão,Thợ rèn,Thương lái
Cấp bậc cao nhất trong môn phái?,Chưởng môn,Đệ tử,Hộ pháp
Kỹ năng tăng công lực gọi là?,Tâm pháp,Khinh công,Ám khí
Người giữ ấn tín môn phái gọi là?,Đường chủ,Đệ tử,Thợ rèn
Bang phái buôn bán gọi là?,Thương hội,Cái Bang,Đường Môn
Danh hiệu cao nhất võ lâm?,Minh chủ,Chưởng môn,Đệ tử
Người đi khắp giang hồ gọi là?,Lãng khách,Thương nhân,Sát thủ
Người dùng thương gọi là?,Thương khách,Kiếm khách,Đao khách
Kỹ năng bảo vệ thân thể gọi là?,Hộ thể công,Khinh công,Độc thuật
